ID	 Amount of the given credit	Gender	 Education	Marital status 	 Age	History of past payment1	Amount of bill statement1	Amount of previous payment 1	default payment next month
66	200000	1	1	1	57	-2	152519	0	1
67	10000	1	2	1	56	2	2097	2300	1
68	210000	2	1	2	30	2	300	300	0
69	130000	2	3	2	29	1	-190	0	0
70	20000	1	5	2	22	2	18565	0	0
71	80000	1	1	2	31	-1	780	0	0
72	320000	1	2	2	29	2	58267	2500	1
73	200000	2	2	1	32	-1	9076	5818	0
74	290000	2	1	2	37	1	0	0	0
75	340000	1	1	2	32	-1	3048	5713	0
76	20000	1	2	2	24	0	14619	2850	0
77	50000	1	3	2	25	-1	42838	1759	0
78	300000	2	1	1	45	-1	291	291	0
79	30000	2	2	2	22	0	28387	1686	1
80	240000	2	2	2	44	1	0	0	1
81	470000	2	3	3	33	0	165254	6400	0
82	360000	2	1	2	26	0	23411	4796	0
83	60000	1	3	2	30	0	26324	1576	1
84	400000	2	2	1	44	0	131595	10700	0
85	50000	2	3	2	49	0	48909	1676	0
86	160000	1	2	2	33	0	130028	4400	0
87	360000	2	1	1	45	-1	390	1170	1
88	160000	2	2	2	32	0	3826	1147	0
89	130000	2	1	1	35	0	81313	40000	0
90	20000	1	3	2	44	2	8583	0	0
91	200000	1	1	1	53	2	138180	6300	1
92	280000	2	1	2	39	-1	7524	0	0
93	100000	2	1	2	27	-2	-2000	7555	0
94	160000	2	2	1	37	-1	880	1602	0
95	60000	2	2	2	23	0	45648	1937	0
96	90000	1	2	2	35	0	83725	3621	0
97	360000	1	1	1	43	-1	3967	8339	0
98	150000	1	1	2	27	0	86009	4031	0
99	50000	2	3	1	22	0	18722	1411	0
100	20000	1	2	1	38	0	17973	1699	1
101	140000	1	1	2	32	-2	672	10212	0
102	380000	2	1	2	30	-2	-81	223	0
103	480000	1	1	1	63	0	422069	16078	0
104	50000	2	3	2	22	0	44698	1767	1
105	60000	2	2	2	26	2	56685	0	0
106	70000	2	2	2	24	-1	5580	0	0
107	80000	2	2	1	36	-1	6108	2861	0
108	350000	1	1	2	52	-1	713	2272	0
109	130000	1	2	2	38	0	171438	10908	0
110	360000	1	2	1	35	1	-103	0	0
111	330000	2	1	1	31	0	105879	9260	0
112	50000	1	3	1	47	0	13244	2000	0
113	280000	1	2	1	41	2	135673	6500	0
114	100000	2	1	2	24	0	52128	2000	0
115	50000	1	2	2	41	0	19015	1340	0
116	30000	1	1	2	24	-1	18199	0	1
117	240000	1	1	2	28	-1	326	326	0
118	80000	1	2	2	26	2	14029	2000	1
119	400000	1	2	1	34	-1	19660	9677	0
120	240000	2	2	2	38	0	50254	2000	0
121	50000	1	3	2	37	2	46004	1000	1
122	450000	1	1	1	40	1	0	0	1
123	110000	2	1	1	48	1	0	0	0
124	310000	2	2	1	35	2	304991	13019	1
125	20000	1	1	2	27	0	19115	1404	0
126	20000	1	2	2	23	1	0	0	0
127	200000	1	3	2	52	0	110151	3568	0
128	180000	1	1	1	36	0	163736	4655	1
129	50000	1	2	1	51	0	3347	1000	1
130	60000	1	3	1	55	3	60521	2504	0
131	30000	2	1	2	23	1	4000	5645	0
132	240000	1	1	2	41	1	95	2622	0
133	420000	1	2	1	34	0	253454	9744	0
134	330000	1	3	1	46	0	227389	8210	0
135	30000	2	2	2	22	0	28452	2000	0
136	240000	1	2	1	34	0	10674	1500	0
137	150000	1	1	2	27	0	17444	2500	0
138	210000	2	2	1	33	0	7166	1500	0
139	50000	2	3	1	51	-1	752	300	1
140	50000	1	1	2	24	0	50801	2360	0
141	240000	1	1	2	47	1	0	0	1
142	180000	1	2	2	28	-1	1832	0	0
143	50000	1	2	2	23	1	10131	1000	0
144	170000	1	2	2	29	-2	12159	10000	0
145	20000	1	1	2	29	-1	1199	15586	0
146	50000	1	1	2	28	0	4999	1000	0
147	170000	2	2	2	27	0	19269	1661	1
148	200000	1	1	2	34	1	197236	8000	0
149	80000	2	2	1	23	1	9168	1650	0
150	260000	2	1	1	60	1	-1100	0	0
151	140000	1	2	1	32	0	86627	3455	0
152	80000	1	1	2	25	0	42444	30000	0
153	350000	1	1	2	41	1	208	2906	0
154	280000	2	2	1	56	0	208775	8042	0
155	30000	2	3	2	26	0	9014	1700	0
156	140000	1	1	1	34	0	23944	5000	0
157	200000	2	1	2	37	0	105420	4000	0
158	200000	2	3	2	30	0	196031	7300	0
159	210000	1	3	1	45	2	115785	10478	1
160	50000	1	3	1	57	3	12854	0	0
161	30000	1	1	2	41	2	24357	3500	0
162	50000	1	2	2	27	2	390	390	0
163	290000	1	3	1	47	-1	1234	396	0
164	250000	2	1	1	34	0	141223	17994	0
165	60000	2	2	1	46	0	21148	3000	0
166	110000	2	1	2	27	0	101640	5500	0
167	370000	1	1	2	50	-2	6093	15383	0
168	100000	1	2	1	27	-1	102349	3166	0
169	90000	2	2	1	35	0	72112	3500	0
170	50000	2	2	2	22	0	28040	1510	0
171	270000	1	2	2	37	0	37695	5000	0
172	300000	2	1	2	30	-1	688	3288	0
173	50000	2	2	2	22	-1	8567	15000	0
174	50000	2	1	2	24	1	-709	0	1
175	360000	1	1	2	29	1	0	0	0
176	130000	1	3	1	56	1	64617	3000	1
177	80000	1	1	2	30	-2	6187	504	0
178	50000	1	2	2	30	1	48860	0	0
179	20000	2	2	2	22	0	16001	1212	0
180	80000	2	2	1	29	0	77883	5800	0
181	240000	1	1	2	37	-1	12212	15000	0
182	80000	2	3	2	35	0	49608	12500	0
183	500000	2	1	1	47	0	56422	70010	0
184	60000	2	2	1	24	0	58024	2500	1
185	20000	1	2	2	25	0	10642	1200	0
186	100000	2	2	1	38	1	14483	0	1
187	360000	2	1	2	32	1	2616	57087	0
188	200000	2	3	2	47	2	199436	8214	1
189	130000	2	2	1	34	1	0	5396	0
190	20000	2	2	2	31	1	21703	0	0
191	310000	1	1	2	32	0	59901	10020	0
192	60000	2	1	2	27	2	19625	1342	1
193	180000	2	1	2	29	-1	11386	199	0
194	180000	2	1	2	24	-1	14670	37867	0
195	50000	1	2	1	36	0	47790	2000	0
196	50000	2	1	2	24	1	36166	1900	1
197	150000	2	2	1	34	-2	0	0	0
198	20000	2	1	2	22	0	18553	1500	0
199	500000	2	1	1	34	-2	412	138	0
200	30000	2	3	2	22	1	29010	1000	1
201	180000	2	1	1	38	-2	750	0	0
202	140000	1	1	2	31	0	27123	25000	0
203	140000	2	1	2	26	-1	13424	10000	0
204	120000	1	2	2	26	0	107314	5000	0
205	360000	2	2	1	48	0	226430	9100	0
206	20000	1	3	1	43	-1	227	22359	0
207	100000	1	1	1	47	-1	390	1473	0
208	210000	2	2	1	41	-1	3088	1586	1
209	80000	2	2	2	24	0	81625	3200	1
210	330000	2	1	1	50	-1	8872	4345	0
211	220000	1	1	2	24	0	105607	5000	0
212	210000	2	1	1	38	1	0	0	1
213	40000	2	3	1	43	0	38257	1700	0
214	30000	1	2	2	39	0	28347	3036	0
215	470000	1	2	2	27	2	296573	13000	0
216	30000	1	3	1	42	-1	390	390	0
217	240000	2	2	1	36	1	-946	0	1
218	80000	1	2	2	36	2	79278	3100	0
219	110000	2	3	0	31	0	89989	4000	0
220	310000	2	1	2	38	-1	1424	4542	0
221	360000	2	1	1	40	2	105167	12000	1
222	330000	2	3	2	45	0	335196	12388	0
223	300000	2	2	2	35	0	291619	12019	0
224	320000	2	2	2	33	0	91653	10042	0
225	50000	2	3	2	37	1	52626	0	1
226	170000	2	1	2	28	0	130370	6530	0
227	350000	1	3	1	44	-1	3265	2686	0
228	20000	1	2	1	37	0	16455	1609	0
229	50000	1	2	2	23	2	49758	2401	1
230	20000	2	3	2	24	1	19154	0	0
231	50000	2	1	2	24	0	35084	2090	0
232	20000	1	2	2	23	1	20235	0	1
233	50000	1	2	1	26	0	102800	0	0
234	190000	1	2	2	34	2	129801	5000	1
235	60000	2	2	1	33	0	58203	1506	0
236	80000	1	1	2	35	-1	7988	3983	0
237	150000	2	2	2	27	0	127402	4500	0
238	210000	2	1	2	31	-2	1440	0	0
239	240000	2	3	1	50	0	234205	10116	1
240	140000	2	2	3	41	0	19346	3000	1
241	60000	2	1	2	28	1	21501	0	0
242	50000	1	1	2	39	0	47174	1800	0
243	50000	2	2	2	27	0	26655	1800	0
244	180000	2	1	2	32	-1	3139	2821	0
245	30000	2	1	2	40	-1	142	355	0
246	20000	2	2	2	40	0	19816	1601	0
247	250000	2	2	1	75	0	52874	1631	0
248	100000	2	2	2	27	0	37767	1788	0
249	330000	1	1	2	25	0	46140	2504	0
250	50000	1	3	1	46	0	35713	1561	0
251	50000	2	2	2	26	1	50867	1710	0
252	30000	1	2	2	28	0	29242	5006	0
253	140000	2	2	2	26	0	101551	5366	1
254	160000	2	1	2	28	0	70243	7042	0
255	400000	2	2	2	29	-1	19532	3127	0
256	50000	1	2	1	25	0	27699	1565	0
257	140000	2	2	1	48	0	1154	1233	0
258	160000	2	2	1	33	-1	8015	2453	0
259	100000	2	3	1	43	0	62170	0	0
260	220000	1	1	1	48	2	210380	10000	1
261	510000	2	1	2	29	0	78331	40010	0
262	50000	1	2	2	29	0	49276	1602	0
263	160000	2	1	1	38	-1	4473	4664	0
264	230000	2	1	2	37	-2	2283	51315	0
265	80000	2	1	2	37	-1	10115	258	0
266	150000	2	2	1	25	-1	6156	0	0
267	10000	1	3	2	23	0	6974	1134	0
268	130000	2	3	2	49	0	89003	4100	1
269	40000	2	1	2	48	0	34871	1600	0
270	50000	1	2	2	27	3	13694	1700	1
271	100000	1	3	2	32	0	70003	2035	0
272	120000	1	1	1	34	-1	1082	0	0
273	260000	2	1	2	58	1	0	0	1
274	200000	2	2	2	33	0	11253	2000	0
275	360000	2	2	2	28	-2	0	0	1
276	70000	2	2	2	36	0	68699	4483	0
277	460000	1	1	1	40	2	171	2728	1
278	50000	2	1	2	26	-1	1156	316	0
279	50000	1	3	1	33	0	50859	2007	0
280	250000	2	2	1	31	0	103109	4000	0
281	30000	2	1	2	27	0	1512	1000	0
282	270000	1	2	1	44	0	127543	10063	0
283	180000	2	3	2	30	0	163935	7722	0
284	100000	2	1	2	28	0	53494	4173	0
285	230000	2	3	1	32	0	195126	5000	0
286	210000	2	1	1	46	-1	110346	41986	0
287	210000	1	1	2	38	2	60502	3276	0
288	440000	2	2	1	46	0	180641	8610	0
289	100000	2	2	2	25	2	70896	3472	1
290	240000	2	2	1	46	0	8751	1295	0
291	280000	1	1	2	33	-1	898	898	1
292	50000	2	2	2	22	1	0	0	1
293	30000	1	2	1	43	3	1700	1100	0
294	10000	1	2	2	27	0	7015	3507	1
295	130000	1	1	2	29	1	0	0	0
296	200000	1	1	2	31	0	194353	9000	0
297	120000	2	2	1	29	-1	1686	657	0
298	210000	2	2	1	36	0	143225	6483	0
299	280000	2	1	1	36	0	58983	2755	0
300	300000	1	1	2	34	1	0	0	1
301	100000	1	2	2	37	0	99209	3490	0
302	440000	2	1	2	36	-2	0	0	0
303	50000	2	3	1	40	0	49941	2400	0
304	20000	2	1	2	25	0	11968	2800	1
305	200000	2	1	2	27	-1	871	665	0
306	110000	2	2	2	26	-2	432	3220	0
307	500000	2	2	1	36	-1	10483	23962	0
308	300000	2	2	1	27	1	0	5215	0
309	30000	1	3	1	55	2	9720	1200	1
310	60000	2	1	2	27	-1	20847	13809	0
311	400000	2	2	1	38	-1	3697	1000	0
312	180000	2	2	1	34	0	143301	7000	0
313	20000	1	1	2	40	0	10934	3000	0
314	200000	2	3	1	49	-1	52439	0	1
315	100000	1	1	2	27	0	55734	1631	0
316	60000	1	2	2	23	0	49507	1970	1
317	110000	2	2	2	36	0	47819	2200	0
318	260000	2	3	1	53	1	0	165	0
319	50000	2	3	1	46	3	48522	3754	0
320	180000	1	2	2	29	1	-2	0	0
321	110000	1	2	2	29	1	58362	2500	1
322	340000	2	1	2	27	0	172180	21105	0
323	50000	1	2	2	24	-1	1399	1070	0
324	230000	2	2	1	28	0	26361	1710	1
325	360000	2	2	2	32	0	93029	10000	0
326	210000	1	2	2	43	1	0	0	0
327	220000	2	2	1	41	-1	650	325	1
328	60000	2	2	1	34	2	24898	3800	1
329	340000	1	2	1	55	-2	50396	44665	0
330	150000	1	1	1	40	2	99855	5200	0
331	200000	2	2	1	37	1	-179	1000	1
332	130000	2	2	2	40	0	9559	3000	1
333	60000	2	1	2	28	1	10540	0	0
334	400000	2	2	1	43	1	0	0	0
335	20000	1	1	2	27	0	20571	1323	0
336	190000	2	1	2	28	0	143464	5795	0
337	260000	2	1	2	30	0	156882	10000	0
338	140000	2	2	2	31	-2	390	0	0
339	50000	2	2	1	31	0	46512	1974	1
340	120000	2	1	2	34	-1	882	6900	0
341	240000	2	2	2	30	-2	92	92	0
342	50000	1	2	2	36	0	5916	1212	0
343	200000	2	1	2	29	-1	2393	0	0
344	180000	1	1	1	39	0	274731	11000	0
345	180000	2	1	2	26	0	145403	5440	0
346	160000	2	1	2	29	-1	3097	0	0
347	100000	2	2	2	26	-1	1370	4210	0
348	50000	2	2	2	29	0	47081	3000	1
349	140000	2	2	2	31	0	138119	6600	0
350	30000	2	2	2	26	0	17893	1411	1
351	90000	1	1	2	26	0	39128	1541	0
352	200000	1	1	1	36	1	-14386	10118	0
353	380000	1	1	2	30	1	0	0	1
354	80000	2	2	2	43	0	77057	3177	0
355	50000	1	3	1	58	2	15899	3400	0
356	180000	1	2	1	45	-1	27679	1481	1
357	240000	2	2	2	26	0	141315	6349	0
358	380000	1	2	2	34	0	194314	9010	0
359	110000	2	4	2	24	0	83755	3000	0
360	260000	1	1	1	34	-1	49657	291	0
361	500000	2	2	2	23	4	507726	10000	1
362	320000	2	2	2	30	0	71305	2589	0
363	50000	1	2	2	32	4	45734	0	0
364	110000	1	1	1	40	1	0	0	1
365	230000	2	1	2	35	-2	761	300	0
366	330000	2	2	1	56	1	-9	1529	0
367	50000	2	2	1	61	0	47166	3000	0
368	10000	1	2	2	24	-1	2887	0	0
369	300000	1	1	1	40	1	0	0	0
370	20000	2	2	1	32	3	20631	0	1
371	180000	1	2	1	36	2	83538	0	1
372	160000	1	1	2	30	-1	99	2977	0
373	90000	2	1	2	34	0	34302	1640	0
374	30000	1	3	3	54	0	22987	2500	0
375	180000	1	1	1	46	0	173267	8100	0
376	30000	1	3	1	58	0	19143	1640	0
377	30000	1	2	1	43	1	20518	0	0
378	140000	2	1	2	28	-1	10833	14000	0
379	210000	1	1	2	30	0	69937	3500	0
380	50000	1	2	2	31	0	20526	2000	1
381	130000	2	2	2	29	0	89055	4200	0
382	50000	2	2	1	37	2	1894	1500	1
383	140000	1	3	1	36	0	100594	3000	0
384	170000	2	2	2	28	-1	2948	1105	1
385	80000	1	2	2	25	0	22619	10010	0
386	410000	2	5	1	42	0	338106	15000	0
387	80000	2	1	2	29	1	0	80000	0
388	80000	1	3	1	73	-1	63144	3500	1
389	150000	1	2	1	43	0	153249	7900	0
390	260000	1	1	1	30	-1	1131	291	1
391	350000	1	1	1	38	1	0	0	0
392	280000	2	2	1	39	1	-1312	38621	1
393	310000	1	2	1	44	0	103797	4400	0
394	140000	2	2	2	29	0	20110	3000	0
395	360000	1	1	1	51	-1	38000	25000	0
396	140000	2	1	2	27	0	142428	10000	0
397	100000	1	1	2	38	0	40810	2502	0
398	50000	2	2	2	22	-2	0	0	0
399	210000	2	2	1	30	0	104701	4002	0
400	120000	2	2	2	25	2	120298	4007	0
401	240000	1	1	2	29	0	156362	5233	0
402	60000	2	3	3	42	0	41322	1488	0
403	150000	1	1	2	41	-1	1464	2091	1
404	30000	1	2	1	48	0	27879	1774	0
405	160000	2	1	2	29	2	160432	7500	1
406	200000	1	1	1	52	-2	3858	2690	0
407	120000	2	2	1	25	0	26476	6000	0
408	500000	1	1	1	37	1	507062	325	0
409	320000	2	1	2	27	0	55607	11404	0
410	280000	1	1	2	31	0	168382	10000	0
411	60000	2	1	2	23	1	29332	0	1
412	200000	2	1	1	38	-1	190	0	0
413	230000	2	1	1	32	1	0	0	0
414	230000	2	2	2	27	1	13668	0	1
415	480000	2	3	1	41	-2	14867	26734	0
416	50000	2	3	1	35	-1	22500	5000	0
417	200000	2	1	2	31	-2	7184	17507	0
418	50000	2	1	2	30	0	14811	2000	0
419	50000	1	2	1	48	0	44338	3629	0
420	260000	2	1	2	36	1	0	0	1
421	30000	1	1	2	24	2	25265	1500	0
422	440000	2	1	2	29	0	169661	8071	0
423	230000	2	2	2	38	-1	10237	2795	0
424	200000	1	2	1	38	2	104978	4500	1
425	490000	2	2	1	30	0	192586	10000	0
426	80000	2	2	1	32	-1	11262	0	0
427	20000	2	3	2	49	2	9551	3000	1
428	170000	2	1	2	31	-1	199	199	1
429	70000	1	1	2	27	0	70119	3600	0
430	210000	2	2	2	33	0	212601	6000	0
431	90000	2	2	2	25	0	91894	3200	0
432	390000	2	1	2	27	0	304867	13007	1
433	110000	2	1	2	29	0	48123	2500	0
434	580000	2	1	1	36	0	159760	6422	0
435	360000	1	3	1	55	0	9210	6015	0
436	270000	2	2	1	32	1	234752	10000	1
437	60000	2	1	2	27	-1	14072	0	0
438	110000	1	3	1	37	0	61807	2300	0
439	50000	2	1	1	25	0	51044	2500	0
440	80000	2	1	2	23	0	77024	3212	1
441	50000	1	2	2	23	-1	350	350	0
442	100000	1	1	2	32	0	83831	4000	0
443	30000	2	1	2	26	1	0	0	0
444	200000	2	1	2	27	0	122923	5704	0
445	240000	1	1	2	44	0	246135	12026	1
446	220000	1	2	2	34	0	37304	1600	0
447	160000	2	1	2	28	0	146433	4500	0
448	180000	2	1	1	53	-1	46122	1260	0
449	200000	1	4	1	42	0	38564	5000	0
450	140000	2	3	1	30	0	96304	4505	0
451	380000	1	1	1	51	1	0	0	1
452	600000	1	1	1	53	2	467150	0	1
453	260000	1	2	2	37	0	255691	14000	0
454	200000	2	1	2	26	0	156786	179	0
455	80000	1	2	2	42	0	78129	2500	0
456	40000	1	2	2	39	0	40034	2027	0
457	130000	1	3	2	39	1	71034	0	0
458	50000	1	1	2	32	-1	23974	1800	0
459	230000	2	2	1	41	-1	819	18163	0
460	70000	1	2	1	48	0	50927	2100	1
461	180000	2	2	1	38	0	152510	5657	0
462	80000	2	2	1	36	-1	1689	8638	0
463	290000	2	2	2	26	0	20807	80000	0
464	230000	2	1	2	28	0	30141	120093	0
465	170000	2	3	3	56	1	0	0	0
466	230000	1	1	1	59	-1	208459	7536	1
467	220000	1	1	2	38	0	212795	8909	1
468	230000	1	2	2	32	0	28114	1610	0
469	500000	1	2	1	38	0	59372	10026	0
470	90000	2	1	1	41	-1	6160	3276	0
471	390000	2	3	2	35	0	355215	13802	1
472	400000	2	2	2	41	0	366193	14020	0
473	180000	1	2	1	34	-1	2927	2790	0
474	60000	1	3	1	38	1	29295	1800	0
475	120000	2	2	1	32	-1	4158	2682	0
476	60000	2	2	2	29	0	27199	1900	0
477	50000	1	1	2	44	0	50893	1800	0
478	70000	2	2	1	37	0	66759	2518	0
479	500000	2	1	1	38	-1	600	0	0
480	200000	1	1	2	31	-2	0	0	0
481	250000	2	2	1	40	0	44930	120041	0
482	140000	1	2	2	26	0	131367	17000	1
483	70000	2	2	2	28	0	41264	2112	0
484	90000	1	3	1	48	1	77604	1700	0
485	100000	2	2	1	43	-1	2491	1709	0
486	190000	1	2	1	31	0	177554	7600	0
487	230000	2	1	1	42	-1	6865	15111	0
488	320000	1	2	1	39	0	93768	3317	0
489	220000	2	2	1	36	-1	396	1648	1
490	260000	2	1	1	34	-1	16426	6277	0
491	90000	2	2	2	32	-2	573	157	0
492	30000	2	2	1	43	2	28703	1300	0
493	260000	1	2	2	30	0	98560	4000	0
494	170000	2	2	2	28	0	28304	4000	0
495	80000	2	1	1	28	0	8574	1203	1
496	50000	1	1	1	41	-1	508	1000	0
497	200000	2	3	2	47	0	203183	7521	0
498	20000	1	2	2	23	0	16440	7403	0
499	250000	2	1	1	49	-1	66	0	0
500	20000	1	1	1	38	0	15912	1623	0
501	30000	2	2	1	38	0	20344	2000	0
502	90000	2	2	1	35	1	23132	0	0
503	230000	2	6	2	46	0	221590	10000	0
504	130000	2	1	1	33	0	19161	2000	1
505	30000	1	6	1	53	-2	0	0	0
506	160000	1	1	2	35	-1	396	396	0
507	500000	2	2	2	43	-1	3959	0	0
508	180000	2	2	2	28	0	42238	2500	0
509	80000	2	2	1	30	0	21507	1700	0
510	120000	1	1	2	26	-1	884	0	0
511	130000	1	2	1	31	-1	1261	1261	0
512	120000	2	2	2	35	-1	240	240	1
513	360000	1	1	2	28	-1	20223	53228	0
514	50000	1	2	2	23	2	29509	2000	1
515	20000	2	2	2	23	0	18355	2900	0
516	100000	1	3	1	56	0	94265	2385	0
517	70000	1	3	1	32	0	68739	3060	0
518	50000	1	2	1	47	0	13917	3000	0
519	10000	2	2	2	22	1	10250	0	0
520	290000	2	1	1	34	0	93844	6000	0
521	30000	2	1	1	31	0	16496	1597	0
522	410000	2	2	2	27	1	-58	33049	0
523	360000	1	1	2	28	-1	1210	390	1
524	140000	2	2	1	42	0	111496	6022	1
525	210000	2	1	2	32	0	67374	3200	0
526	220000	2	2	2	27	-1	1692	13250	0
527	20000	1	2	2	27	1	18649	0	0
528	620000	2	2	1	45	2	160837	0	1
529	360000	1	1	2	26	1	-8	0	0
530	20000	2	2	2	21	-1	18763	14410	0
531	50000	1	2	2	23	0	34549	2836	0
532	50000	1	2	3	30	0	97538	2454	0
533	10000	1	2	2	46	0	4073	2400	1
534	100000	2	3	1	50	2	53849	2050	1
535	50000	1	1	2	26	-2	2411	3068	0
536	60000	1	2	2	25	-1	480	1675	0
537	440000	2	1	2	35	0	330759	13100	0
538	120000	1	2	1	44	0	92007	5417	0
539	50000	2	1	2	52	0	3257	1000	0
540	110000	2	2	1	40	1	92638	600	0
541	200000	2	1	2	38	-1	399	0	0
542	150000	2	1	2	28	1	0	0	0
543	30000	2	2	1	36	2	28778	0	1
544	100000	2	1	2	24	0	30092	1553	0
545	360000	2	1	1	34	-1	12339	10000	0
546	390000	2	1	2	31	0	50620	5000	0
547	220000	2	1	1	41	1	-65	0	1
548	160000	2	2	2	25	-2	0	0	0
549	230000	2	1	2	28	-1	2403	7357	0
550	120000	1	1	2	27	0	52437	5024	0
551	100000	1	3	1	52	0	4657	1500	1
552	190000	2	1	2	41	-1	28204	0	1
553	50000	1	1	1	56	0	50715	2500	1
554	240000	2	1	1	42	1	0	6370	0
555	40000	2	2	2	24	-2	35285	2000	0
556	630000	2	2	1	47	0	37850	38187	0
557	160000	2	1	1	33	-2	5233	5401	0
558	110000	2	2	2	32	0	65299	11000	0
559	20000	1	2	2	29	0	17208	2055	0
560	210000	2	3	1	53	0	57192	2800	0
561	270000	1	1	2	34	-1	5780	12006	0
562	360000	2	2	2	52	-2	640	2231	0
563	60000	2	2	1	42	-1	631	2790	0
564	360000	1	2	2	38	-1	108351	8005	0
565	390000	2	1	2	45	2	834	1	0
566	250000	2	3	2	35	-2	7244	8514	0
567	90000	2	1	2	24	0	13141	1600	1
568	360000	1	1	2	28	-1	7071	1510	0
569	50000	1	3	2	26	0	35429	1537	0
570	270000	2	1	1	40	0	18751	1000	0
571	200000	2	1	2	29	1	55788	8394	0
572	50000	2	2	2	23	0	49809	2040	0
573	350000	1	1	2	33	-1	10900	10530	0
574	160000	2	2	2	60	-2	3128	5156	1
575	80000	2	3	1	49	-1	3367	4641	0
576	290000	1	1	1	53	2	279610	13000	1
577	270000	2	1	2	28	-1	475	475	0
578	80000	1	1	2	31	-1	5994	13647	0
579	50000	1	2	2	36	0	5197	1300	0
580	30000	1	2	1	35	-2	7797	2687	0
581	30000	1	2	2	28	1	0	780	1
582	90000	1	2	2	33	-1	35785	15155	0
583	160000	1	1	2	26	-1	1433	3757	0
584	80000	2	3	2	53	0	77766	4000	0
585	50000	1	2	2	42	0	50300	2200	0
586	20000	2	1	2	25	0	14603	1600	0
587	220000	1	1	1	43	1	0	0	1
588	210000	1	3	2	25	-1	8817	23776	1
589	130000	2	2	2	29	0	131575	6700	0
590	260000	2	2	1	31	-1	5841	23194	0
591	230000	2	1	1	30	0	30341	5000	0
592	160000	1	1	2	34	0	83255	4000	0
593	50000	1	1	1	35	0	34976	1127	0
594	80000	1	2	1	32	0	48747	2145	0
595	110000	1	3	2	46	0	56700	2681	0
596	200000	1	1	1	43	0	144678	5090	0
597	360000	1	2	2	29	0	268112	9429	0
598	210000	2	3	2	31	1	0	0	0
599	80000	2	2	2	24	2	79243	3249	0
600	300000	2	2	1	36	-1	-475	10000	1
601	310000	2	2	1	43	0	23396	1426	0
602	30000	1	3	1	59	-1	390	390	1
603	170000	1	1	1	53	0	17862	1323	0
604	140000	2	2	2	28	2	26450	3007	0
605	180000	2	2	2	31	1	0	0	0
606	50000	1	1	2	34	1	22746	0	0
